@relation mmcfeatures

@attribute mood {0,1}
@attribute danceability numeric
@attribute energy numeric
@attribute key numeric
@attribute loudness numeric
@attribute mode numeric
@attribute speechiness numeric
@attribute acousticness numeric
@attribute instrumentalness numeric
@attribute liveness numeric
@attribute valence numeric
@attribute tempo numeric
@attribute duration_ms numeric
@attribute time_signature numeric
@attribute track_duration numeric
@attribute track_end_of_fade_in numeric
@attribute track_start_of_fade_out numeric
@attribute track_loudness numeric
@attribute track_tempo numeric
@attribute track_tempo_confidence numeric
@attribute track_time_signature numeric
@attribute track_time_signature_confidence numeric
@attribute track_key numeric
@attribute track_key_confidence numeric
@attribute track_mode numeric
@attribute track_mode_confidence numeric

@data
1,0.706,0.794,11,-4.321,0,0.0568,0.11,0,0.276,0.729,124.93,238627,4,238.62667,0.1893,229.99946,-4.321,124.93,0.704,4,0.9,11,0.358,0,0.479
1,0.706,0.889,0,-3.692,1,0.0556,0.00125,0,0.033,0.882,141.025,214387,4,214.38667,0.21415,207.09878,-3.692,141.025,0.789,4,0.981,0,0.523,1,0.445
1,0.655,0.862,6,-8.082,0,0.0445,0.000929,0.555,0.151,0.355,107.991,216440,4,216.44,0.22472,207.41224,-8.082,107.991,0.812,4,1,6,0.425,0,0.371
1,0.783,0.722,5,-4.497,0,0.0685,0.186,0,0.236,0.378,119.956,198173,4,198.17333,2.15946,194.53678,-4.497,119.956,0.725,4,1,5,0.382,0,0.525
0,0.649,0.718,7,-4.984,0,0.0594,0.00676,0.00000426,0.174,0.477,79.993,249293,4,249.29333,0,243.34512,-4.984,79.993,0.335,4,1,7,0.884,0,0.777
0,0.531,0.471,0,-9.267,1,0.0236,0.28,0.0000622,0.133,0.119,90.941,293838,4,293.83823,0.3019,286.03501,-9.267,90.941,0.082,4,0.995,0,0.356,1,0.642
1,0.578,0.908,9,-3.544,1,0.0396,0.019,0,0.289,0.718,79.987,261747,4,261.74667,0,253.68961,-3.544,79.987,0.827,4,0.891,9,0.829,1,0.643
0,0.504,0.12,7,-26.164,1,0.0388,0.9,0.802,0.118,0.0345,61.241,245493,4,245.49333,0.23519,221.41388,-26.164,61.241,0.215,4,1,7,0.044,1,0.36
0,0.291,0.591,0,-5.222,1,0.0289,0.319,0.00355,0.146,0.482,94.716,157307,4,157.30667,0.3595,147.88789,-5.222,94.716,0.168,4,0.7,0,0,1,0.105
1,0.608,0.579,8,-5.95,1,0.0713,0.0231,0,0.0681,0.403,72.474,198360,4,198.36,2.10141,181.08662,-5.95,72.474,0.184,4,1,8,0.041,1,0.548
1,0.757,0.844,1,-5.163,1,0.0394,0.0000389,0.0395,0.179,0.941,118.025,279480,4,279.48,0.31288,275.44091,-5.163,118.025,0.817,4,1,1,0.398,1,0.446
1,0.497,0.725,2,-4.578,0,0.0988,0.25,0,0.358,0.432,173.015,307600,4,307.6,0.18571,301.05252,-4.578,173.015,0.17,4,1,2,0.338,0,0.423
1,0.554,0.768,6,-5.812,0,0.127,0.0126,0.00000713,0.122,0.324,99.679,215107,4,215.10703,5.82821,215.10703,-5.812,99.679,0.223,4,0.966,6,0.41,0,0.416
0,0.347,0.181,5,-13.474,1,0.0378,0.986,0.0168,0.105,0.127,79.328,227800,3,227.8,0,211.8937,-13.474,79.328,0.173,3,1,5,0.772,1,0.764
0,0.782,0.266,7,-8.995,1,0.0332,0.785,0,0.0953,0.361,111.884,194253,4,194.25333,0.22159,184.58122,-8.995,111.884,0.021,4,0.985,7,0.422,1,0.592
0,0.274,0.387,5,-10.206,1,0.0304,0.499,0.000345,0.108,0.15,96.018,274440,4,274.44,0.27805,264.35338,-10.206,96.018,0.112,4,1,5,0.828,1,0.699
0,0.618,0.444,4,-8.23,1,0.0276,0.788,0.0000699,0.0947,0.345,103.16,182280,3,182.28,0.20844,174.91011,-8.23,103.16,0.293,3,0.853,4,1,1,0.743
0,0.471,0.381,4,-12.72,0,0.0375,0.837,0.0521,0.106,0.167,115.022,212680,4,212.68,0.20254,205.74041,-12.72,115.022,0.263,4,0.96,4,0.45,0,0.566
1,0.853,0.706,7,-7.598,1,0.045,0.403,0.0467,0.0751,0.778,121.99,189200,4,189.2,0.5439,183.59438,-7.598,121.99,1,4,1,7,0.331,1,0.548
1,0.408,0.627,2,-10.223,1,0.132,0.0651,0.0000544,0.334,0.429,83.856,292227,3,292.22667,6.9834,282.6449,-10.223,83.856,0.114,3,1,2,0.655,1,0.523
1,0.729,0.805,5,-5.183,0,0.0329,0.00363,0.00000308,0.11,0.749,122.021,222960,4,222.96,0.30789,210.59918,-5.183,122.021,0.889,4,1,5,0.419,0,0.543
1,0.794,0.745,9,-11.367,0,0.037,0.271,0.00041,0.143,0.706,124.249,225882,4,225.88227,0.56404,215.55084,-11.367,124.249,0.844,4,0.987,9,0.683,0,0.588
1,0.65,0.951,11,-5.465,1,0.0729,0.232,0,0.979,0.727,96.032,170449,4,170.44898,0.07542,170.44897,-5.465,96.032,0.435,4,0.985,11,0.412,1,0.514
0,0.522,0.58,9,-12.914,0,0.0324,0.0156,0.00168,0.0543,0.493,98.489,366360,4,366.36,0.10227,349.7912,-12.914,98.489,0.479,4,1,9,0.39,0,0.378
1,0.694,0.81,11,-3.556,0,0.0661,0.122,0,0.141,0.824,137.968,206867,4,206.86667,0.27007,201.47374,-3.556,137.968,0.927,4,1,11,0.681,0,0.677
0,0.593,0.614,6,-6.368,1,0.0232,0.127,0.0000103,0.0659,0.33,96.257,230992,4,230.99211,5.12,223.91583,-6.368,96.257,0.413,4,0.994,6,0.726,1,0.745
1,0.784,0.811,11,-2.218,0,0.137,0.0983,0,0.186,0.804,104.97,217213,4,217.21333,0,209.85615,-2.218,104.97,0.44,4,1,11,0.009,0,0.214
1,0.677,0.682,9,-6.879,1,0.0361,0.0405,0,0.0351,0.875,106.279,192107,4,192.10667,0.13932,183.2751,-6.879,106.279,0.775,4,1,9,0.684,1,0.513
1,0.739,0.829,0,-5.337,1,0.0346,0.00852,0.674,0.285,0.927,120.856,682867,4,682.86667,5.64825,679.92091,-5.337,120.856,0.922,4,0.997,0,0.667,1,0.583
0,0.539,0.433,3,-12.246,1,0.0273,0.147,0.828,0.117,0.141,96.196,347867,4,347.86667,7.90059,339.61506,-12.246,96.196,0.691,4,1,3,0.51,1,0.531
0,0.504,0.465,8,-7.827,1,0.0285,0.193,0.000332,0.105,0.234,113.844,279560,4,279.56,0.16336,272.50358,-7.827,113.844,0.696,4,0.88,8,0.381,1,0.547
0,0.227,0.651,4,-6.144,1,0.037,0.197,0.0000596,0.0944,0.188,169.211,251507,3,251.50667,0.55755,247.45506,-6.144,169.211,0.13,3,1,4,0.545,1,0.569
1,0.562,0.959,3,-5.288,1,0.0543,0.000278,0.534,0.17,0.711,115.406,256027,4,256.02667,0.08014,243.99528,-5.288,115.406,0.765,4,1,3,0.32,1,0.478
0,0.537,0.811,0,-6.08,1,0.0283,0.0539,0.435,0.0903,0.435,149.877,335840,4,335.84,0.20317,327.31429,-6.08,149.877,0.44,4,1,0,0.389,1,0.527
0,0.431,0.373,7,-14.771,1,0.034,0.641,0.511,0.143,0.49,167.286,154840,4,154.84,0.24213,148.82249,-14.771,167.286,0.496,4,1,7,0.076,1,0.608
0,0.453,0.602,3,-5.56,0,0.038,0.351,0,0.117,0.349,169.753,213907,4,213.90667,0.09406,201.40989,-5.56,169.753,0.323,4,0.917,3,0.758,0,0.742
0,0.551,0.308,6,-9.757,1,0.0285,0.277,0.000178,0.101,0.132,115.855,278680,4,278.68,2.33361,269.47918,-9.757,115.855,0.176,4,0.992,6,0.83,1,0.746
0,0.401,0.254,9,-10.178,0,0.0317,0.653,0.0476,0.112,0.158,127.666,345507,4,345.50667,0.12848,337.56009,-10.178,127.666,0.069,4,0.938,9,0.398,0,0.364
1,0.652,0.724,10,-8.627,1,0.0506,0.813,0.000277,0.238,0.984,170.968,95987,4,95.98667,0,95.98666,-8.627,170.968,0.897,4,0.981,10,0.817,1,0.669
1,0.394,0.926,9,-4.78,1,0.0986,0.0182,0.125,0.284,0.513,126.652,139587,4,139.58667,0.50494,136.85261,-4.78,126.652,0.308,4,0.858,9,0.602,1,0.508
1,0.568,0.866,6,-5.352,1,0.0275,0.0257,0.000137,0.202,0.56,144.961,295560,4,295.56,3.83129,285.33261,-5.352,144.961,0.746,4,0.888,6,0.784,1,0.6
1,0.679,0.136,8,-11.584,0,0.032,0.724,0.41,0.109,0.0397,100.034,227947,4,227.94667,0.22045,227.94667,-11.584,100.034,0.331,4,1,8,0.015,0,0.248
1,0.598,0.672,0,-5.291,0,0.0438,0.0134,0,0.106,0.338,125.086,280287,4,280.28662,0,276.92118,-5.291,125.086,0.56,4,1,0,0.429,0,0.586
