@relation mmcfeatures

@attribute mood {0,1}
@attribute danceability numeric
@attribute energy numeric
@attribute key numeric
@attribute loudness numeric
@attribute mode numeric
@attribute speechiness numeric
@attribute acousticness numeric
@attribute instrumentalness numeric
@attribute liveness numeric
@attribute valence numeric
@attribute tempo numeric
@attribute duration_ms numeric
@attribute time_signature numeric
@attribute track_duration numeric
@attribute track_end_of_fade_in numeric
@attribute track_start_of_fade_out numeric
@attribute track_loudness numeric
@attribute track_tempo numeric
@attribute track_tempo_confidence numeric
@attribute track_time_signature numeric
@attribute track_time_signature_confidence numeric
@attribute track_key numeric
@attribute track_key_confidence numeric
@attribute track_mode numeric
@attribute track_mode_confidence numeric

@data
1,0.739,0.82,5,-6.099,0,0.0889,0.00823,0,0.2,0.775,127.984,228027,4,228.02667,0.99832,217.37941,-6.099,127.984,0.736,4,1,5,0.545,0,0.523
1,0.814,0.679,5,-3.339,1,0.0658,0.0356,0.00000336,0.0641,0.962,127.012,222107,4,222.10667,0.11696,212.09107,-3.339,127.012,0.895,4,1,5,0.674,1,0.532
1,0.973,0.723,8,-4.017,1,0.0569,0.17,0.000282,0.0863,0.751,110.625,234027,4,234.02667,0,234.02667,-4.017,110.625,0.831,4,1,8,0.536,1,0.437
1,0.615,0.892,9,-4.879,1,0.0318,0.00577,0.000281,0.358,0.843,127.899,315107,4,315.10667,0,306.59628,-4.879,127.899,0.778,4,1,9,0.657,1,0.555
1,0.709,0.858,5,-3.796,1,0.0382,0.0159,0.00000176,0.337,0.812,130.087,199373,4,199.37333,0,192.07546,-3.796,130.087,0.902,4,1,5,0.494,1,0.517
0,0.302,0.572,2,-9.291,0,0.124,0.17,0.00000281,0.982,0.189,174.412,293707,4,293.70667,0,293.70667,-9.291,174.412,0.028,4,0.782,2,0.973,0,0.785
1,0.686,0.635,9,-6.062,0,0.045,0.0236,0,0.0819,0.775,95.998,204285,4,204.28508,0.19147,199.55229,-6.062,95.998,0.675,4,1,9,0.487,0,0.495
1,0.736,0.795,4,-3.021,0,0.0368,0.0145,0.0000139,0.0443,0.943,128.209,192067,4,192.06667,0.0888,188.45315,-3.021,128.209,0.949,4,1,4,0.211,0,0.293
1,0.753,0.9,11,-1.866,0,0.0322,0.26,0.000102,0.165,0.966,119.72,200213,4,200.21333,0.07483,193.03329,-1.866,119.72,0.748,4,1,11,0.425,0,0.697
1,0.851,0.629,1,-8.385,1,0.175,0.00705,0.000372,0.0746,0.789,125.984,237640,4,237.64,0.12762,235.54902,-8.385,125.984,0.358,4,1,1,0.659,1,0.419
0,0.359,0.551,7,-7.631,1,0.0328,0.329,0.000837,0.297,0.527,158.346,170333,4,170.33333,0.1229,158.57488,-7.631,158.346,0.037,4,0.991,7,0.508,1,0.421
0,0.42,0.69,0,-6.081,1,0.0341,0.434,0.00000475,0.161,0.533,111.149,182387,4,182.38667,0.20322,175.37451,-6.081,111.149,0.556,4,0.919,0,0.635,1,0.644
1,0.883,0.688,2,-14.935,1,0.107,0.0809,0.0000977,0.0581,0.735,100.782,247733,4,247.73333,0.14354,247.73334,-14.935,100.782,0.919,4,1,2,0.296,1,0.334
0,0.642,0.339,3,-11.884,1,0.0291,0.81,0.000751,0.108,0.355,135.812,215933,4,215.93333,0,199.41878,-11.884,135.812,0.496,4,0.96,3,0.311,1,0.517
1,0.647,0.762,0,-7.765,1,0.0363,0.00369,0.00641,0.0884,0.451,120.832,285596,4,285.59601,0.49338,281.77995,-7.765,120.832,0.643,4,1,0,0.447,1,0.572
0,0.442,0.569,9,-8.162,0,0.0393,0.296,0,0.353,0.474,136.607,273493,4,273.49333,0.08712,266.51283,-8.162,136.607,0.675,4,0.08,9,0.752,0,0.69
0,0.456,0.816,3,-5.972,1,0.0378,0.0498,0.207,0.135,0.239,147.109,259400,3,259.4,0.1102,246.29406,-5.972,147.109,0.429,3,1,3,0.539,1,0.549
0,0.451,0.0872,8,-23.439,1,0.546,0.943,0,0.304,0.0771,171.31,224640,3,224.64,0.32503,220.47347,-23.439,171.31,0.114,3,0.509,8,0.449,1,0.457
